Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,AlphaCode,Numeric code
72,Latvia,975355,6218,96883,307,7858319,1848837,LVA,428
60,Lebanon,1228639,1079,1087587,130262,4795578,6684849,LBN,422
149,Lesotho,3479,723,2598,8087,431221,2175699,LSO,426
184,Liberia,8062,294,7766,2,139824,5305117,LBR,430
86,Libya,507162,6437,500721,4,2483446,7040745,LBY,434
160,Liechtenstein,2134,89,21237,14,112457,38387,LIE,438
56,Lithuania,1296865,9545,1282528,4792,10350770,2661708,LTU,440
99,Luxembourg,297757,1133,288991,7633,4412567,642371,LUX,442
193,Macao,3488,120,3357,11,785,66749,MAC,446
133,Madagascar,67827,1419,6637,38,524209,29178077,MDG,450
126,Malawi,88559,2686,85369,504,624784,20180839,MWI,454
27,Malaysia,5036593,36942,4989861,979,67665089,33181072,MYS,458
111,Maldives,185715,311,163687,21717,2213831,540985,MDV,462
151,Mali,32783,743,31957,83,789342,21473764,MLI,466
119,Malta,117062,824,115623,615,2109235,444033,MLT,470
135,Mauritania,63665,997,62437,231,1009957,4901981,MRT,478
145,Mauritius,41652,1043,39943,666,358675,1274727,MUS,480
18,Mexico,7368252,332198,6606633,429421,19356195,131562772,MEX,484
83,Moldova,598673,11953,504142,82578,3216305,4013171,MDA,498
168,Monaco,16056,65,15982,9,78646,39783,MCO,492
69,Mongolia,1007871,2179,1005658,34,4030048,3378078,MNG ,496
100,Montenegro,286355,2797,28321,348,2697814,627950,MNE ,499
58,Morocco,1272240,16296,1255881,63,12930733,37772756,MAR,504
106,Mozambique,231994,2233,228805,956,1371127,33089461,MOZ,508
80,Myanmar,63382,1949,614299,31,9941945,55227143,MMR,104
113,Namibia,170741,4088,166452,201,1062663,2633874,NAM ,516
191,Nauru,4621,1,4609,11,20509,10903,NRU,520
70,Nepal,1001102,1202,989064,18,6003944,30225582,NPL,524
16,Netherlands,8582500,22989,8547771,1174,25984435,17211447,NLD,528
128,New Caledonia,79845,314,79526,5,98964,290915,NCL,540
45,New Zealand,2182355,3781,2169320,9254,7710637,4898203,NZL,554
180,Niger,9931,312,889,729,254538,26083660,NER,562
103,Nigeria,266463,3155,25985,3458,5708974,216746934,NGA,566
94,North Macedonia,346428,9638,336623,167,2216193,2081304,MKD,807
52,Norway,1477856,5112,1471835,909,11002430,5511370,NOR,578
93,Oman,399449,4628,384669,10152,25000000,5323993,OMN,512
51,Pakistan,1576313,3064,1538689,6984,30570862,229488994,PAK,586
190,Palau,5986,9,5976,1,6882,18233,PLW,585
81,Palestine,621008,5404,615445,159,3078533,5345541,PSE,275
68,Panama,1029701,8596,1020206,899,7475016,4446964,PAN,591
142,Papua New Guinea,46575,670,43982,2098,249149,9292169,PNG,598
33,Peru,4481621,218931,4258688,4002,37754603,33684208,PER,604
35,Philippines,4073454,65802,3998048,9604,34343332,112508994,PHL,608
20,Poland,6380225,118736,5335940,925549,38118630,37739785,POL,616
24,Portugal,5563907,26022,5532366,5519,45915651,10140570,PRT,620
89,Qatar,492534,686,491585,263,4065369,2979915,QAT,634
90,RĂ©union,485895,919,418572,66404,1603660,908061,REU,638
37,Romania,3325006,67576,3252104,5326,26389988,19031335,ROU,642
10,Russia,21958696,395108,21356008,20758,273400000,145805947,RUS,643
117,Rwanda,13309,1468,131559,63,5959042,13600464,RWA,646
