GISJOIN,race_white,race_black,race_hispanic,sex_female,age_0_17,age_over65,ind_divorce,marriage_never_married,lang_second_eng,empl_civilian_unemployed,ind_agriculture,income_median,public_asist,gini_index,transp_car,transp_public,pov_under_1,insured_under65,house_vacant,housevalue_median,POP16dens,MEDIAN_INCOME08_16,POP08_16,edu_high,housevalue_IQR
G0100010,0.756834819887736,0.183709059201802,0.0257225381024178,0.511762248178895,0.251648531308471,0.139784555577758,0.196470773593824,0.248933111207467,0.0417788461538462,0.0336439408128863,0.0121177149451818,53099,0.133557692307692,0.4295,0.959056867747511,0.0007818286560776,0.122660170702224,0.896520791952329,0.0842652108831558,141000.0,35.1670128066469,-0.0125341714243208,0.0084081333577577,0.245927713486535,136300.0
G0100030,0.831787880306752,0.0922560272668037,0.0436669841110721,0.511949275725528,0.221893639416571,0.187148513858954,0.231375310132099,0.246486002294605,0.0694886159496467,0.0367246617301202,0.0144496484450674,51365,0.0957697374549229,0.4608,0.922743598656007,0.0021434364500057,0.129937957689178,0.856273346928339,0.301452885786259,173400.0,47.2263429776764,0.0129964895673096,0.0888738497811446,0.295471110285396,157800.0
G0100050,0.458856241076125,0.478883294506651,0.0430976177951454,0.464980837153378,0.215488088975727,0.165288945667694,0.281971947194719,0.345558608058608,0.0607322955492217,0.0616036505867014,0.0452574224396753,33956,0.256522692392019,0.462,0.944665831720369,0.0038711146533075,0.263736728564782,0.842386281959133,0.227080155905779,90300.0,11.3604737130573,0.0648185894822666,-0.0311259965779606,0.128677870234405,116300.0
G0100070,0.747651958178274,0.212121212121212,0.0222399432925749,0.464646464646465,0.210703526493,0.148856990962254,0.231937951551211,0.296369460758142,0.023694665153235,0.0347642733564014,0.0391429255446493,39776,0.154937570942111,0.4494,0.963164251207729,0.0048309178743961,0.16453914478474,0.892982557135456,0.214444939812751,97200.0,13.918126491426,0.080165109711058,-0.0086521147173788,0.12,112300.0
G0100090,0.876577013725218,0.0155795092194649,0.0872729793428532,0.504852349923749,0.235702897546097,0.171929155691113,0.182036266139843,0.19809028151143,0.0689170182841069,0.0297128697806855,0.0287593201500486,46212,0.117318977641981,0.4165,0.962529274004684,0.0017330210772833,0.165344401828403,0.867668382893769,0.135471698113208,124200.0,34.2432789613078,0.0225703664365374,0.0041415793686701,0.13049756789623,119800.0
G0100110,0.21683093252464,0.755022744503412,0.001231993934799,0.458017437452616,0.215504169825625,0.151345716451857,0.382614647501711,0.450311994453432,0.0452755905511811,0.0746460746460746,0.127455678006708,29335,0.213723284589426,0.4701,0.887875150060024,0.0036014405762304,0.268662596021272,0.804897770590274,0.203047960555805,68000.0,6.51714456177885,-0.149710144927536,-0.0210594674830689,0.10255011591436,90100.0
G0100130,0.527810650887574,0.435157790927022,0.0124753451676529,0.530473372781065,0.233382642998028,0.181262327416174,0.246382583300146,0.333719865730851,0.0320521172638437,0.0527230950754518,0.0372599231754161,34315,0.216416938110749,0.4588,0.964243921466649,0.0,0.256595084346999,0.856908693540554,0.225842243292314,83000.0,10.0659948061849,0.115862382934443,-0.0217076700434154,0.160800057351781,107400.0
G0100150,0.729977649870991,0.203317138838311,0.0343622446778216,0.518980350871137,0.221266277193376,0.159307232294642,0.264244037260723,0.274428164857173,0.045483792238912,0.0666959851548338,0.0105296745373325,41954,0.194515320272459,0.4543,0.946350197611197,0.0022272201235888,0.196423817552578,0.871646436352319,0.15480253534861,107900.0,73.0747742169006,0.0464170802883296,-0.0165571906240983,0.176529665272498,105700.0
G0100170,0.567434887412546,0.404785701687342,0.0043506378975836,0.520871303427597,0.21409253924393,0.18387324357693,0.271138960560265,0.285729571637479,0.0132120424518085,0.0413783055292489,0.015323212885753,36027,0.179770413688542,0.4734,0.965910732341471,0.0024555828398093,0.203116138853237,0.855864667101355,0.180656610470275,83000.0,21.7776944119197,0.119511513004568,-0.0061353278017996,0.12484279366144,96000.0
G0100190,0.918716453643279,0.0460671120206974,0.0156388770900104,0.502529250492335,0.20566088736147,0.203228173147469,0.181489253925754,0.169342117472395,0.0207291571961088,0.0298381024096386,0.019621308741293,38925,0.168560778252568,0.4464,0.966941318327974,0.0054260450160771,0.164461024936187,0.882932539876104,0.323554735547355,112500.0,16.665433238842,0.0740597665627328,-0.0007716942547362,0.139616989408366,127800.0
G0100210,0.806102654220964,0.100098135426889,0.0762489444736061,0.507976356208777,0.241687016454801,0.152497888947212,0.217389060887513,0.247593750892526,0.0762982128888621,0.0440707451435199,0.0299540477676292,42594,0.190745532222155,0.4575,0.955039297272307,0.0009824318076745,0.202743585598485,0.813892423052976,0.137123572170301,99100.0,24.1406800512818,0.0431013371210266,0.0047235789135768,0.148545485118547,113400.0
G0100230,0.562053134642884,0.422292466320464,0.0055693535034244,0.522164521712952,0.207721833370964,0.207496048769474,0.243798724309001,0.272669740529789,0.0102481121898598,0.0619762409061608,0.0830985915492958,32622,0.231751168644373,0.4799,0.947622495776008,0.0,0.209533267130089,0.855302090293023,0.231874050545505,64600.0,5.571036480289,-0.0712069014605814,-0.0398178927590692,0.119602032176122,106600.0
G0100250,0.531774459693323,0.454944258864249,0.0017305912182557,0.527588843723588,0.226103754980481,0.180625427617016,0.174862871193493,0.317853457172343,0.0123508478124346,0.0840163934426229,0.0390979286677289,32735,0.181389993719908,0.5259,0.948196230183498,0.001622768693047,0.246359620418848,0.841259640102828,0.241083485582652,85900.0,7.65901227809301,0.0575369903728113,-0.0357420055883266,0.121372341675479,116700.0
G0100270,0.802640361937254,0.147444930653415,0.0310761699918416,0.515538084995921,0.216124008010087,0.194022101906104,0.207452638171285,0.215864175350341,0.0292746597053887,0.0352575812933869,0.0457038391224863,38815,0.15756106656722,0.4497,0.959680416202155,0.0011148272017837,0.167480543262628,0.841586918145498,0.204892512972572,90000.0,8.5904314457066,0.123249218659567,-0.0249493780734742,0.110628837603218,125700.0
G0100290,0.927956774064439,0.0236141685011007,0.0232806350476953,0.504836235074378,0.234674137816023,0.181642318724568,0.214726507713885,0.190318027069667,0.0265683921837504,0.0380517503805175,0.0556414219474498,36316,0.163866986630099,0.4441,0.964663677130045,0.0001793721973094,0.196183620806736,0.832222496502921,0.127821796980117,108100.0,10.3171396932869,-0.0249167651165288,0.0057698758805771,0.115280725448582,151700.0
G0100310,0.713714184856151,0.170049616599008,0.0655802004275264,0.505599027279324,0.237728226549783,0.157831774234669,0.251802802848202,0.255810554012571,0.0913032258064516,0.0350023583149219,0.0288484053762937,47872,0.13821935483871,0.4485,0.950613915416098,0.0001364256480218,0.163545915829271,0.873299668994177,0.15252383868428,142800.0,28.9315070358525,0.0727378658181329,0.0205139494856503,0.236667244467556,138700.0
G0100330,0.788531916067455,0.156481600676757,0.0240175074020266,0.51687294260441,0.215808154182835,0.184526546150027,0.266621922060489,0.244755244755245,0.0337480208097715,0.0406356824304439,0.0089771490750816,43786,0.141189776068763,0.4396,0.968836693175513,0.0011559090068429,0.165275459098498,0.888231694880685,0.15487842177703,102500.0,33.6718663404563,0.0903431445789133,-0.0013590200363629,0.184709048626898,101500.0
G0100350,0.507206426714972,0.462156414901158,0.0176419626683469,0.52524218319288,0.222099708592581,0.202646294400252,0.177095403630745,0.311293436293436,0.0176817288801572,0.0960268165237109,0.0677385345282024,27609,0.224950884086444,0.4791,0.973088196109779,0.0,0.325384249722706,0.760496277915633,0.278525868178597,72300.0,5.74904688165032,0.0201374519657109,-0.0372308158932362,0.0866257947320618,69600.0
G0100370,0.650220913107511,0.323637702503682,0.0128865979381443,0.507087628865979,0.183357879234168,0.186671575846834,0.311043802423113,0.289800323799244,0.0156918687589158,0.0590232150678931,0.011208967173739,31910,0.155016642891108,0.4263,0.9366391184573,0.0052341597796143,0.153377155377727,0.847163619315518,0.348210134821013,76500.0,6.29491296402096,-0.147361389445558,-0.0390092879256967,0.0994055899835589,93500.0
G0100390,0.835140077924143,0.129767552810835,0.015319780540168,0.517108855257229,0.22046701476318,0.201781123273874,0.247201048118151,0.219349403836185,0.0224652480400553,0.0566906853551805,0.0639844886088221,37313,0.148955794189341,0.4555,0.952357494722027,0.0019704433497536,0.18994488869678,0.846063690854904,0.191875632220625,93700.0,13.9561499684101,0.0563970442512953,-0.0019575165992116,0.149214857315416,123200.0
G0100410,0.708693149107657,0.236758779504893,0.016839378238342,0.5061168681635,0.228698906160046,0.175086355785838,0.241230343874201,0.278019345106043,0.0407298193881313,0.040680406804068,0.0509397505708765,37557,0.186877994839661,0.468,0.945045045045045,0.001081081081081,0.181818181818182,0.864500306560392,0.190028362442156,77600.0,8.78235237608895,0.0066471896861347,-0.0053682628301481,0.14647680871113,107400.0
G0100430,0.924639677308279,0.0103669634512273,0.0421319297555217,0.505632347877417,0.224789709282306,0.177517339760933,0.232550909373543,0.20373309151364,0.0408609761590682,0.0319073903710518,0.0274571854058079,39297,0.127730767993308,0.4529,0.954101040585998,0.0012260680939356,0.171205351571275,0.823964229796459,0.163364737550471,118700.0,41.5833331202586,0.001350524921007,0.0113552976878973,0.149690179855476,125500.0
G0100450,0.701917068155704,0.194025036789163,0.058882818957002,0.50726711955974,0.236418247424759,0.154292740943818,0.271965919543012,0.272385440689863,0.0675747579014579,0.0545274289491077,0.0226007028926737,44093,0.178620836437161,0.4576,0.928818514007308,0.0013154689403166,0.204745748686334,0.84473057231206,0.177109330531109,103800.0,34.0397412795764,-0.0255044533339227,-0.0104131341139858,0.160686988580164,102600.0
G0100470,0.280693284410757,0.694974170810602,0.0095833534495244,0.538260995510066,0.251870805774151,0.156761454159224,0.294962335216573,0.414860963379426,0.0266476178644636,0.0781919850885368,0.0337297447666736,28136,0.327535871793279,0.517,0.945817422004467,0.002810000720513,0.343000366793006,0.852487776819097,0.204673451239996,81000.0,16.0943734962274,0.074795629918252,-0.0492518130909758,0.137843035727495,109200.0
G0100490,0.810155490082749,0.0147736724135501,0.140152529709461,0.504715451738867,0.247402624864316,0.155320918561541,0.22914291298824,0.25207285096733,0.0992704848655838,0.0341003204781967,0.0385989992852037,38248,0.173108701785498,0.4438,0.964116476758908,0.0003979019714234,0.197866149369544,0.812907989461496,0.20139693575383,99600.0,35.1732905722273,0.0378530920142187,-0.000169135576259,0.113659359190556,110600.0
G0100510,0.736885013031609,0.211124424076979,0.0280148720925924,0.513976555455365,0.229171041417049,0.138876193534839,0.231494483450351,0.28171244138603,0.0407753547940464,0.0416364001669165,0.0090840953380302,53398,0.147040498442368,0.427,0.963997555012225,0.0016503667481662,0.142969642083711,0.897603318482102,0.133005221775404,152500.0,47.573435692094,-0.0381165111503405,0.0205092650951722,0.22238398544131,148200.0
G0100530,0.605940594059406,0.323300330033003,0.0205940594059406,0.488052805280528,0.222600660066007,0.166574257425743,0.265754969688425,0.331647703329119,0.0169917257683215,0.0709203504842216,0.0231276613509226,32334,0.213800236406619,0.4891,0.972139388259351,0.0033228252534719,0.252026069708133,0.786611021790442,0.175689665672005,93900.0,15.3425800649756,0.0405148833467418,-0.0064791983631498,0.116256501824393,91100.0
G0100550,0.784313535791337,0.152849665741126,0.0362992560200459,0.516200187688051,0.22016582336039,0.173630796319766,0.272349606371503,0.2652916912198,0.0336774454734072,0.0459873435926938,0.0074626865671641,40478,0.164389453975001,0.4391,0.941153258027919,0.0026143146056331,0.18376886741498,0.854959051546876,0.168027955540586,101900.0,72.7425378780148,0.0748274030801912,-0.0091452016449858,0.164918544967641,107900.0
G0100570,0.852291008758863,0.122385747482572,0.0085801108264315,0.504796520288387,0.214919859381517,0.195495441816123,0.222739018087855,0.23350545037292,0.0046715328467153,0.0436623831775701,0.0527585652243848,36205,0.183357664233577,0.4579,0.967475648010566,0.0001650982334489,0.173011844331641,0.895498992311712,0.185687113647171,76400.0,10.2961674183938,0.0941372015714717,-0.0253208664846971,0.141453498221243,90900.0
G0100590,0.780730370886517,0.0406043138124347,0.160168498400532,0.507395559497039,0.243087448136066,0.160358534190606,0.268404556226588,0.246007151370679,0.101906471744892,0.0536191942935884,0.0221174174662547,36138,0.215610840386424,0.4415,0.931540542756416,0.0023776338443879,0.222852745984419,0.832701780977643,0.167473309608541,87000.0,18.8553382948559,-0.0294615281321337,-0.0028739262253664,0.123900993883792,93200.0
G0100610,0.840612740519335,0.0942275359611433,0.0370633289744069,0.511600971417897,0.221670091537456,0.189501214272371,0.226030259968235,0.226361556064073,0.0365956648212443,0.0545446105282704,0.0572631166797181,36519,0.179224922586094,0.4508,0.934059405940594,0.0002970297029702,0.227680769667816,0.820389930668652,0.157082970813889,81500.0,17.8495687826948,0.0862930572907371,-0.0001494265755164,0.116617920765754,97400.0
G0100630,0.171421916851054,0.811808547804821,0.0061721206474903,0.523465703971119,0.231745662047281,0.180039594736229,0.343798449612403,0.399110856159472,0.0234953331187641,0.0767644025342567,0.0259684972328651,21339,0.410685548760863,0.5086,0.913733905579399,0.0103004291845494,0.378837590813218,0.829348135496726,0.378102481985588,68100.0,5.0238761366176,-0.102536064263784,-0.0529392301753611,0.0997485331098072,79600.0
G0100650,0.399696549904347,0.582822085889571,0.0120720364140115,0.530246058447127,0.235173824130879,0.176594762187479,0.232078204199855,0.354463341199447,0.027236045729657,0.0572398939695162,0.0589402659257789,33351,0.26630800268998,0.4906,0.961281167646463,0.0004054327995134,0.259117469272617,0.87093651689925,0.222991508817766,89400.0,8.91532295770647,0.134040599816383,-0.0375238095238096,0.140287418124939,121800.0
G0100670,0.685634491185198,0.278873567231047,0.0253098271949729,0.517018676906965,0.211322511200326,0.206318729272124,0.188946331856228,0.239090653153153,0.0292782901478553,0.0409795102448776,0.0468151510852603,41045,0.172741911872347,0.459,0.928283989652199,0.0007185972980741,0.152809785499025,0.856984887578327,0.236759776536313,101800.0,11.676633281564,0.0089724680432645,-0.0050940665701881,0.16144341706898,111500.0
G0100690,0.674524261004322,0.263747581599946,0.0318699406108325,0.520824710513904,0.237864685102656,0.160485508850622,0.292878982148141,0.295725020673786,0.0469730457536265,0.046838835424534,0.0164136514096564,41945,0.1576099382669,0.4809,0.958336215443499,0.0017292660994673,0.188806768452786,0.856572829682404,0.151385146060149,124800.0,68.960046835827,0.0027971693602371,0.0239702737066204,0.210179023073771,120400.0
G0100710,0.894920924574209,0.0329417579075426,0.0272772201946472,0.510283607055961,0.217362378345499,0.184515663017032,0.217648265955264,0.219959831013228,0.0256204562547004,0.0462377674767055,0.0248032435010732,38422,0.135322135873653,0.4543,0.956761462565293,0.0005320177984136,0.187921526430067,0.855570935879689,0.194889597545715,103800.0,18.0268037683312,0.0367791899403654,-0.0125940802192234,0.12578463859479,110200.0
G0100730,0.506709189556605,0.423396591695292,0.0368929564130263,0.526668345734157,0.231344144100404,0.143100549844029,0.286923761957722,0.341031167482904,0.0641433608508135,0.0508282104965828,0.0068746428211248,47220,0.161678247947649,0.4995,0.942619227340572,0.0089964854276746,0.181041714802312,0.873839140531153,0.14246450589985,145700.0,226.441334812947,0.0397445777826709,0.0009598094960392,0.31440247300475,161400.0
G0100750,0.861367837338262,0.112611972131381,0.0142897767666714,0.515640551684914,0.216834921086307,0.202189677235888,0.194539249146758,0.178648672030452,0.0146422628951747,0.0474398249452954,0.0357420357420357,34298,0.222129783693844,0.471,0.978205379933242,0.0064794816414686,0.238615141502658,0.842029765106688,0.179746144397434,71100.0,8.96983378450335,-0.027586402426923,-0.0307999724385034,0.130626125225045,77800.0
G0100770,0.849915264299824,0.0976349564447707,0.0239310888267614,0.522230977644887,0.205135954922766,0.183126261590441,0.232500304766549,0.264438398756316,0.0354526732879748,0.0427623785832741,0.0125270528325907,43657,0.149917885352311,0.464,0.957059811393877,0.0021702622400206,0.182780725022104,0.867576030996232,0.134317243246903,124100.0,49.7066406260479,0.0726272081767033,0.0012212519453571,0.216792297459935,125900.0
G0100790,0.76657793198337,0.113660156133162,0.0206682020757934,0.51329524721084,0.218706068854126,0.161517063978704,0.218664459863772,0.217067897841779,0.0154643044816456,0.042585636181054,0.0353267326732673,42339,0.182043390135876,0.433,0.968380400675839,0.0027355378550164,0.182801547014745,0.869270740010751,0.122521573018905,97600.0,17.9985938346216,0.0711683448869099,-0.0209382687126626,0.103086182609809,112100.0
G0100810,0.678675128453299,0.230865167882453,0.036902310535444,0.506148219841894,0.217860692316187,0.103210845290912,0.225917230262466,0.399646351713529,0.0888931106543929,0.0368525255126678,0.0074946013464877,45056,0.123987495898171,0.5003,0.922778877793764,0.0085326419851569,0.230115918742109,0.894385065885798,0.118719654190956,156400.0,96.5159538118746,0.0432285998749682,0.0923029984816018,0.344121466386974,153600.0
G0100830,0.77436653112778,0.126749171809389,0.0568930941644415,0.499806109221445,0.233821199463754,0.13910278427158,0.221029881128898,0.266366090638747,0.0598010787890125,0.0460532734900966,0.0162187573454517,51115,0.141801515293237,0.4595,0.960115835198105,0.000816111623009,0.141003430433336,0.8545806107481,0.0969167957201183,142500.0,57.3931965244994,0.0605431873353113,0.0833483369942265,0.232606873428332,146800.0
G0100850,0.244013251301467,0.746426881211548,0.0047326076668244,0.522479886417416,0.232181732134406,0.173402744912447,0.315,0.414879906268307,0.0106182161396885,0.0599133782483157,0.0468837731611454,27914,0.326805096743747,0.5244,0.96283185840708,0.003834808259587,0.286900897460378,0.847402971323275,0.165912222003543,68900.0,5.62589327363621,-0.0038896620633051,-0.0653750884642604,0.122819260293091,129900.0
G0100870,0.154236943710628,0.815332249542776,0.016460069091648,0.539118065433855,0.179943100995733,0.167496443812233,0.324927088694459,0.466179701882535,0.0355022109917878,0.0810957581608641,0.0113247300500395,32390,0.286923562855338,0.4753,0.894237288135593,0.0094915254237288,0.255360735843633,0.871600836717116,0.225689688906281,77000.0,12.3938972460035,0.158564939013485,-0.0721221834637503,0.200418881907524,80000.0
G0100890,0.654310475379529,0.239829929737437,0.0467521780251619,0.511148002845934,0.224857346138131,0.136679115246033,0.231068080068584,0.310751863102683,0.0784500067881872,0.0472667503351493,0.0073247171895054,60150,0.114491707693517,0.4664,0.944433364156679,0.0019340138644618,0.132703713254255,0.881169387782436,0.0954107685346778,171200.0,166.26403911212,0.0327598640156588,0.0457537627629152,0.406719269138054,157100.0
G0100910,0.454500149506628,0.527608890660819,0.0094687531147214,0.529901325625436,0.230838233828366,0.186384929731885,0.300184423322457,0.331326041538651,0.0159528776536999,0.0678018962075848,0.0403857745629898,30713,0.273653208982697,0.519,0.931034482758621,0.0047299359169972,0.277783385485011,0.851291512915129,0.201704545454545,87900.0,7.88414789633599,-0.110155005070259,-0.0403175665981156,0.147890927699393,127900.0
G0100930,0.920466946658289,0.0324746188696716,0.0240087304474354,0.505340785078872,0.211118092529515,0.200965640398161,0.176660827381754,0.212946375253792,0.0405253884350472,0.039559277931371,0.0263001106477147,34074,0.183325324363287,0.475,0.950611926048086,0.0004339901050256,0.186278487860959,0.881081081081081,0.150727792137124,85500.0,15.7017116158603,0.0658116984673131,-0.0131196762507751,0.124663385643978,111500.0
G0100950,0.823418029492035,0.0209025324221973,0.129159878985339,0.50708739712696,0.247117439228214,0.164046797977447,0.239246000780336,0.24124482542894,0.088215664084037,0.0401805073720729,0.0282802481363707,39831,0.175763907025333,0.473,0.952568643638978,0.0030094010492955,0.205123258306538,0.818983705737309,0.145990285487708,115700.0,58.5702717488617,0.0305829387565008,0.0157300956269475,0.165672442634852,118000.0
G0100970,0.578508825921876,0.352015853590833,0.0264475935996679,0.521358175774999,0.239915904521218,0.145436420293948,0.271986158208145,0.322492033180523,0.0591529939518089,0.0501582200853653,0.0108016514007209,44263,0.187694880754047,0.4703,0.93592432024881,0.0048242307148579,0.194741221748369,0.847226744973502,0.150601281853622,123500.0,127.352718131234,0.030018849044749,0.0048363194493289,0.225123957321576,105000.0
